"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_LENGTH","NULLABLE"
"BILLING_SCHEDULES_ALL","PROFORMA_TRN_LINE_NUBER","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","REBILL_BATCH_ID","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","REBIL_SELECT_FLAG","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","BILLING_EXCLUDE_FLAG","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","FREE_MONTHS_WITHIN_PERIOD","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ORDER_FULFILLMENT_ID","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","APPROVAL_STATUS","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","TIER_BASE_AMOUNT","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","TIER_VARIABLE_AMOUNT","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","TIER_VARIANCE_AMOUNT","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","BILLING_SCH_REFERENCE","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ORDER_LINE_OVERRIDE_ADJ_ID","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","BOOKING_OVERRIDE_ADJ_ID","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ASSET_ACTIVITY_ID","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","RAMP_HEADER_ID","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ASSET_NUMBER","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ASSET_SERIAL_NUMBER","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","DELIVERY_ID","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","BOOKING_REF_NUMBER","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE6_D","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE7_D","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE8_D","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE9_D","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE10_D","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE6_N","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE7_N","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE8_N","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE9_N","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE10_N","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE16_V","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE17_V","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE18_V","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE19_V","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE20_V","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE21_V","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE22_V","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE23_V","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE24_V","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE25_V","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE26_V","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE27_V","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE28_V","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE29_V","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE30_V","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE31_V","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE32_V","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE33_V","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE34_V","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE35_V","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","BATCH_ID","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","CHARGE_TYPE_ID","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","CHARGE_CODE","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","CHARGE_NAME","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","CHARGE_DESCRIPTION","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ATTRIBUTE36_V","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","TAX_RATE","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","TAX_AMOUNT","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","TAX_FLAG","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","CANCEL_FLAG","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","CHARGE_RULE_ID","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","BILLING_SCH_LEVEL","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","BILLING_LEVEL_GROUP_ID","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","REQUEST_ID","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","PRICE_ADJUSTMENT_ID","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ORDER_ID","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","LINE_ID","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ADJUSTMENT_TYPE","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ADJ_INDEX_CATEGORY","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ADJ_REFERENCE_NUMBER","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ADJUSTMENT_MIN","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ADJUSTMENT_MAX","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ADJUSTMENT_FREQUENCY","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ADJUSTMENT_CYCLE","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","APPLIED_DATE","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ADJUSTMENT_PERCENT","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ADJUSTMENT_AMOUNT","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","CREATION_DATE","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","CREATED_BY","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","LAST_UPDATE_DATE","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","LAST_UPDATED_BY","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","LAST_UPDATE_LOGIN","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","PROGRAM_APPLICATION_ID","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","PROGRAM_ID","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","PROGRAM_UPDATE_DATE","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","REQUEST_ID","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","CONTEXT","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ATTRIBUTE1_V","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ATTRIBUTE2_V","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ATTRIBUTE3_V","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ATTRIBUTE4_V","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ATTRIBUTE5_V","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ATTRIBUTE1_D","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ATTRIBUTE2_D","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ATTRIBUTE3_D","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ATTRIBUTE4_D","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ATTRIBUTE5_D","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ATTRIBUTE1_N","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ATTRIBUTE2_N","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ATTRIBUTE3_N","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ATTRIBUTE4_N","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ATTRIBUTE5_N","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","ORG_ID","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","TENANT_ID","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","REFRESH_FLAG","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","APPLICATION_METHOD","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","APPLICATION_DATE","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","TRUEUP_REQUIRED","VARCHAR2",4000,"Y"
"LINE_PRICE_ADJUSTMENTS","CPI_LINE_ST_RATE","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","DELIVERY_ID","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","LINE_ID","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","ORDER_FULFILLMENT_ID","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","SOURCE","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","LOCATION_ID","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","DELIVERED_QUANTITY","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","CLICKED_QUANTITY","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","DELIVERY_DATE_FROM","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","DELIVERY_REFERENCE","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","COST","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","DELIVERY_STATUS","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","CREATION_DATE","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","CREATED_BY","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","LAST_UPDATE_DATE","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","LAST_UPDATED_BY","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","SOURCE_ID","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","ORG_ID","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","TENANT_ID","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","ATTRIBUTE_CONTEXT","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","ATTRIBUTE1_D","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","ATTRIBUTE2_D","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","ATTRIBUTE3_D","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","ATTRIBUTE4_D","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","ATTRIBUTE5_D","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","ATTRIBUTE1_N","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","ATTRIBUTE2_N","VARCHAR2",4000,"Y"
"ORDER_DELIVERIES_ALL","ATTRIBUTE3_N","VARCHAR2",4000,"Y"
